YEARMODA,TEMP,MAX,MIN,WDSP,MXSPD,PRCP
02/20/1991,79.1,82.8,73,4.9,5.8,0
02/21/1991,82.1,86.9,73,4.9,11.7,0.08
02/22/1991,80.5,84.2,76.1,5.2,7.8,0
02/23/1991,79.9,83.8,73.4,2.9,5.8,0
02/24/1991,80.8,85.1,75.4,3.1,7.8,0
02/25/1991,79.6,85.1,76.1,5.6,9.7,0
02/26/1991,80.4,84.2,77,5.8,9.7,0
02/27/1991,81.1,85.8,73.8,5,7.8,0
02/28/1991,80.9,85.6,74.8,5.8,7.8,0
03/01/1991,81.3,87.4,73.4,6.7,9.7,0
03/02/1991,81.1,86.4,73.4,5,11.7,0
03/03/1991,81.9,88.3,71.1,5,9.7,0
03/04/1991,82.9,89.6,72,6.4,11.7,0
03/05/1991,82.5,88.5,74.8,5.3,7.8,0
03/06/1991,83.2,92.3,73.9,10.3,27.2,0
03/07/1991,83,89.8,71.6,4.4,5.8,0
03/08/1991,85.3,89.6,75.2,7.1,9.7,0
03/09/1991,79.8,89.2,70.2,5.8,7.8,0
03/10/1991,80.9,87.3,73.4,5.3,11.7,0
03/11/1991,81.7,87.8,76.5,5,7.8,0
03/12/1991,81.5,86,75.2,5.3,9.7,0
03/13/1991,82,87.1,78.3,5.8,7.8,0.16
03/14/1991,79.6,83.8,73.2,4.7,7.8,0.24
03/15/1991,81.7,87.8,76.1,4.4,5.8,0
03/16/1991,82.3,88.3,72.1,3.6,7.8,0
03/17/1991,81.9,88.5,76.3,3.9,9.7,0
03/18/1991,84,89.6,75.2,4.9,9.7,0.16
03/19/1991,83.8,88.7,76.6,6.4,11.7,0
03/20/1991,85.6,89.6,79.2,6.2,9.7,0
03/21/1991,84.1,91,77,4.9,7.8,0
03/22/1991,84.8,90.7,78.8,8.5,11.7,0
03/23/1991,85.3,92.5,79.9,5.3,7.8,0
03/24/1991,86.8,91,71.6,6.6,9.7,0
03/25/1991,85.7,94.6,77.9,9.4,23.3,0
03/26/1991,84.1,91.4,77.4,7.2,13.6,0
03/27/1991,84.4,92.5,76.1,6.8,15.5,0
03/28/1991,88.2,92.3,77,7,9.7,0
03/29/1991,85,88.7,77,7.1,9.7,0
03/30/1991,83.3,91.8,75.2,5.8,19.4,0
03/31/1991,83.5,89.6,75.2,6.1,15.5,0
04/01/1991,84.4,88.9,78.8,6.4,13.6,0
04/02/1991,83.8,87.4,78.8,3.2,3.9,0
04/03/1991,83.4,88.2,77,5.3,9.7,0
04/04/1991,84.9,90.5,69.4,5.6,9.7,0
04/05/1991,83.9,91,78.4,5.3,9.7,0
04/06/1991,85.6,92.1,77,6.4,9.7,0
04/07/1991,84.6,89.6,78.1,5.8,11.7,0
04/08/1991,86.5,91.8,81,7.1,9.7,0
04/09/1991,87.6,91.4,77.4,7.8,11.7,0
04/10/1991,87.8,92.05,77.2,8.1,11.7,0
04/11/1991,88,92.7,77,8.4,11.7,0
04/12/1991,84.6,92.8,78.3,5.2,11.7,0
04/13/1991,85.8,91.6,76.3,4.9,9.7,0
04/14/1991,87,91.8,78.4,5,7.8,0
04/15/1991,83.6,91,75.7,5,9.7,0
04/16/1991,87.8,95.4,78.4,7.4,11.7,0
04/17/1991,85.3,91.4,80.2,5.5,7.8,0
04/18/1991,86.4,94.1,78.6,5.55,9.75,0
04/19/1991,87.5,96.8,77,5.6,11.7,0
